Sample ID,description,rank order,Age (ka),Uncert (ka),age (yrs),SiO2,Method,Map Unit,Edifice,Lat,Lon,Ref
852,,425,301,5,301000,62.6,K-Ar,atm,Baker,,,Hildreth et al 2003
1294,,478,460,13,460000,62.8,K-Ar,ald,Baker,,,Hildreth et al 2003
506,,462,374,10,374000,63.7,K-Ar,abb,Baker,,,Hildreth et al 2003
205,,303,80,14,80000,63.9,K-Ar,abg,Baker,,,Hildreth et al 2003
1190,,354,149,5,149000,64.7,K-Ar,dnf,Baker,,,Hildreth et al 2003
705,,455,343,5,343000,64.7,K-Ar,abb,Baker,,,Hildreth et al 2003
472,,504,764,163,764000,64.7,K-Ar,gbc,Baker,,,Hildreth et al 2003
491,,515,1191,94,1191000,66.3,K-Ar,dbm,Baker,,,Hildreth et al 2003
965,,513,1155,38,1155000,68.1,K-Ar,rsw,Baker,,,Hildreth et al 2003
1523,,380,199,5,199000,68.6,K-Ar,rbr,Baker,,,Hildreth et al 2003
372,,510,1032,11,1032000,70.8,K-Ar,rpd,Baker,,,Hildreth et al 2003
314,,511,1060,10,1060000,71.6,K-Ar,rcr,Baker,,,Hildreth et al 2003
1098,,57,6.6,0,6600,,,,Baker,,,Watt et al 2013
,,78,9.8,0,9800,,,,Baker,,,Watt et al 2013
306,,97,12.5,0,12500,,,,Baker,,,Watt et al 2013
1508,,98,12.5,0,12500,,,,Baker,,,Watt et al 2013
1073,,128,14,0,14000,,,,Baker,,,Watt et al 2013
831,,81,10,0,10000,,,,Garibaldi,,,Watt et al 2013
,,111,13.5,0,13500,,,,Garibaldi lake,,,Watt et al 2013
1222,,112,13.5,0,13500,,,,Garibaldi lake,,,Watt et al 2013
761,,106,13,0,13000,,Geomorph,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
835,,107,13,0,13000,,Geomorph,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
,,108,13,0,13000,,Geomorph,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
1073,,236,34.2,0.8,34200,,14C,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
1346,,251,40,40,40000,,K-Ar,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
59,,321,100,12,100000,,Ar,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
1045,,329,110,30,110000,,K-Ar,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
1073,,350,140.8,12.9,140800,,Ar,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
761,,424,300,200,300000,,K-Ar,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
767,,518,1300,100,1300000,,K-Ar,,Garibaldi Lake Volc Field,,,Wilson & Russel 2018
484,,468,405,11.5,405000,,K-Ar,,Garibaldis-Bridge River Volc Field,,,Wilson & Russel 2018
214-3,,490,598,7.5,598000,,K-Ar,,Garibaldis-Bridge River Volc Field,,,Wilson & Russel 2018
1790,,499,731,13.5,731000,,K-Ar,,Garibaldis-Bridge River Volc Field,,,Wilson & Russel 2018
266,,503,752,9,752000,,K-Ar,,Garibaldis-Bridge River Volc Field,,,Wilson & Russel 2018
218,,524,2200,100,2200000,,K-Ar,,Garibaldis-Franklin Glacier Volc Field,,,Wilson & Russel 2018
836,,526,4000,100,4000000,,K-Ar,,Garibaldis-Franklin Glacier Volc Field,,,Wilson & Russel 2018
OLe15,,30,2.34,0.05,2340,,14C,,Garibaldis-Meager,,,Wilson & Russel 2018
484,,31,2.4,0,2400,,,,Garibaldis-Meager,,,Watt et al 2013
375,,158,17,4,17000,,Geomorph,,Garibaldis-Meager,,,Wilson & Russel 2018
1289,,276,57,78,57000,,K-Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
510,,298,75,9,75000,,Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
1437,,309,90,60,90000,,K-Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
,,322,100,20,100000,,K-Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
,,349,140,100,140000,,K-Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
OLe8,,384,200,140,200000,,K-Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
1443,,507,900,200,900000,,K-Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
1014,,523,1900,200,1900000,,K-Ar,,Garibaldis-Meager,,,Wilson & Russel 2018
OLe10,,265,49.1,4.4,49100,,Ar,,Garibaldis-Mt. Cayley Volc Field,,,Wilson & Russel 2018
1007,,376,189.2,11.8,189200,,Ar,,Garibaldis-Mt. Cayley Volc Field,,,Wilson & Russel 2018
1211,,436,310,50,310000,,K-Ar,,Garibaldis-Mt. Cayley Volc Field,,,Wilson & Russel 2018
214-1,,525,2700,700,2700000,,K-Ar,,Garibaldis-Mt. Cayley Volc Field,,,Wilson & Russel 2018
OLe16,,85,10,0.7,10000,,14C,,Garibaldis-Mt. Garibaldi Volc Filed,,,Wilson & Russel 2018
815,,86,10,0.7,10000,,14C,,Garibaldis-Mt. Garibaldi Volc Filed,,,Wilson & Russel 2018
745,,93,11.7,0.425,11700,,14C,,Garibaldis-Mt. Garibaldi Volc Filed,,,Wilson & Russel 2018
730,,131,14,0,14000,,Geomorph,,Garibaldis-Mt. Garibaldi Volc Filed,,,Wilson & Russel 2018
1616,,132,14,0,14000,,Geomorph,,Garibaldis-Mt. Garibaldi Volc Filed,,,Wilson & Russel 2018
1210,,182,21.9,3.35,21900,,Ar,,Garibaldis-Mt. Garibaldi Volc Filed,,,Wilson & Russel 2018
1368,,395,220,220,220000,,K-Ar,,Garibaldis-Mt. Garibaldi Volc Filed,,,Wilson & Russel 2018
1457,,96,12.2,0.14,12200,,14C,,Garibaldis-Salal Glacier Volc Field,,,Wilson & Russel 2018
1054,,466,400,100,400000,,K-Ar,,Garibaldis-Salal Glacier Volc Field,,,Wilson & Russel 2018
OLe20,,488,590,50,590000,,K-Ar,,Garibaldis-Salal Glacier Volc Field,,,Wilson & Russel 2018
1057,,502,750,80,750000,,K-Ar,,Garibaldis-Salal Glacier Volc Field,,,Wilson & Russel 2018
768,,508,970,50,970000,,K-Ar,,Garibaldis-Salal Glacier Volc Field,,,Wilson & Russel 2018
758,,7,0.3,0,300,,,,Glacier Peak,,,Watt et al 2013
983,,13,1.1,0,1100,,,,Glacier Peak,,,Watt et al 2013
208-4,,18,1.9,0,1900,,,,Glacier Peak,,,Watt et al 2013
1177,,38,2.8,0,2800,,,,Glacier Peak,,,Watt et al 2013
,,56,6.1,0,6100,,,,Glacier Peak,,,Watt et al 2013
,,104,13,0,13000,,,,Glacier Peak,,,Watt et al 2013
,,113,13.5,0,13500,,,,Glacier Peak,,,Watt et al 2013
,,114,13.5,0,13500,,,,Glacier Peak,,,Watt et al 2013
,,5,0.2,0,200,,,,Hood,,,Watt et al 2013
,,17,1.5,0,1500,,,,Hood,,,Watt et al 2013
,,67,7.7,0,7700,,,,Hood,,,Watt et al 2013
,,147,16,0,16000,,,,Hood,,,Watt et al 2013
,,76,9,0,9000,,,,Indian Heaven,,,Watt et al 2013
,,11,1,0,1000,,,,Jefferson Reach,,,Watt et al 2013
,,59,7,0,7000,,,,Jefferson Reach,,,Watt et al 2013
,,60,7,0,7000,,,,Jefferson Reach,,,Watt et al 2013
,,65,7,0,7000,,,,Jefferson Reach,,,Watt et al 2013
,,139,15,0,15000,,,,Jefferson Reach,,,Watt et al 2013
,,3,0.097,0,97,,,,Lassen,,,Watt et al 2013
,,8,0.346,0,346,,,,Lassen,,,Watt et al 2013
,,12,1.05,0,1050,,,,Lassen,,,Watt et al 2013
,,100,12.5,0,12500,,,,Lassen,,,Watt et al 2013
,,118,13.5,0,13500,,,,Lassen,,,Watt et al 2013
,,156,17,48,17000,48.9,Ar,,Mazama,,,Bacon & Lamphere 2007
,,166,20,31,20000,50,Ar,,Mazama,,,Bacon & Lamphere 2007
,,316,98,8,98000,52.4,Ar,br,Mazama,,,Bacon & Lamphere 2007
,,494,648,33,648000,52.4,Ar,baf,Mazama,,,Bacon & Lamphere 2007
,,391,213,26,213000,53,Ar,bo,Mazama,,,Bacon & Lamphere 2007
,,491,605,25,605000,53.2,Ar,blp,Mazama,,,Bacon & Lamphere 2007
,,388,207,53,207000,53.4,Ar,bcnp,Mazama,,,Bacon & Lamphere 2007
,,421,297,12,297000,53.6,Ar,bmc,Mazama,,,Bacon & Lamphere 2007
,,338,118,48,118000,53.7,Ar,bcsp,Mazama,,,Bacon & Lamphere 2007
,,389,210,47,210000,53.8,Ar,,Mazama,,,Bacon & Lamphere 2007
,,331,113,24,113000,53.9,Ar,br,Mazama,,,Bacon & Lamphere 2007
,,385,201,13,201000,53.9,Ar,,Mazama,,,Bacon & Lamphere 2007
,,241,35,4,35000,54.0,Ar,br,Mazama,,,Bacon & Lamphere 2007
,,302,80,14,80000,54,Ar,br,Mazama,,,Bacon & Lamphere 2007
SC98-192,,522,1879,22,1879000,54,Ar,bck,Mazama,,,Bacon & Lamphere 2007
SC03-611D,,520,1379,22,1379000,54.4,Ar,bwci,Mazama,,,Bacon & Lamphere 2007
,,271,53,4,53000,54.7,Ar,bsc,Mazama,,,Bacon & Lamphere 2007
,,335,116,24,116000,55,Ar,bf,Mazama,,,Bacon & Lamphere 2007
,,345,133,29,133000,55,Ar,all,Mazama,,,Bacon & Lamphere 2007
,,353,149,7,149000,55,Ar,all,Mazama,,,Bacon & Lamphere 2007
,,367,173,20,173000,55.1,Ar,bu,Mazama,,,Bacon & Lamphere 2007
,,392,217,16,217000,56,Ar,bx,Mazama,,,Bacon & Lamphere 2007
,,394,219,7,219000,56.6,Ar,ac,Mazama,,,Bacon & Lamphere 2007
,,290,73,6,73000,57,Ar,bhi,Mazama,,,Bacon & Lamphere 2007
,,516,1198,19,1198000,57.1,Ar,adsi,Mazama,,,Bacon & Lamphere 2007
,,351,145,12,145000,57.2,Ar,acr,Mazama,,,Bacon & Lamphere 2007
,,355,150,9,150000,57.2,Ar,all,Mazama,,,Bacon & Lamphere 2007
,,365,172,15,172000,57.2,Ar,amv,Mazama,,,Bacon & Lamphere 2007
,,484,543,2,543000,57.4,Ar,aaf,Mazama,,,Bacon & Lamphere 2007
,,346,136,8,136000,57.7,Ar,acr,Mazama,,,Bacon & Lamphere 2007
,,482,517,15,517000,57.8,Ar,at,Mazama,,,Bacon & Lamphere 2007
SC03-612,,521,1850,470,1850000,57.9,Ar,su,Mazama,,,Bacon & Lamphere 2007
,,242,35,12,35000,58,Ar,asc,Mazama,,,Bacon & Lamphere 2007
,,315,98,26,98000,58,Ar,asc,Mazama,,,Bacon & Lamphere 2007
,,341,122,20,122000,58.3,Ar,all,Mazama,,,Bacon & Lamphere 2007
,,163,19,19,19000,58.8,Ar,atc,Mazama,,,Bacon & Lamphere 2007
,,334,115,4,115000,58.8,Ar,atc,Mazama,,,Bacon & Lamphere 2007
,,283,67,12,67000,58.9,Ar,ah,Mazama,,,Bacon & Lamphere 2007
,,304,84,13,84000,58.9,Ar,arw,Mazama,,,Bacon & Lamphere 2007
,,363,164,11,164000,59,Ar,alb,Mazama,,,Bacon & Lamphere 2007
,,438,313,6,313000,59,Ar,aa,Mazama,,,Bacon & Lamphere 2007
,,487,587,18,587000,59,Ar,acc,Mazama,,,Bacon & Lamphere 2007
,,454,341,8,341000,59.2,Ar,ak,Mazama,,,Bacon & Lamphere 2007
,,361,153,12,153000,59.3,Ar,all,Mazama,,,Bacon & Lamphere 2007
,,439,315,8,315000,59.3,Ar,ak,Mazama,,,Bacon & Lamphere 2007
,,415,288,13,288000,59.4,Ar,ac,Mazama,,,Bacon & Lamphere 2007
,,258,47,8,47000,59.5,Ar,apu,Mazama,,,Bacon & Lamphere 2007
,,279,64,7,64000,59.5,Ar,aww,Mazama,,,Bacon & Lamphere 2007
,,301,79,10,79000,60,Ar,aww,Mazama,,,Bacon & Lamphere 2007
,,451,336,6,336000,60,Ar,arv,Mazama,,,Bacon & Lamphere 2007
,,374,189,3,189000,60.2,Ar,ags,Mazama,,,Bacon & Lamphere 2007
,,434,307,12,307000,60.6,Ar,ak,Mazama,,,Bacon & Lamphere 2007
,,317,100,10,100000,60.8,Ar,alu,Mazama,,,Bacon & Lamphere 2007
,,337,117,3,117000,60.8,Ar,alu,Mazama,,,Bacon & Lamphere 2007
,,458,349,11,349000,60.8,Ar,ak,Mazama,,,Bacon & Lamphere 2007
,,300,78,8,78000,60.9,Ar,ad,Mazama,,,Bacon & Lamphere 2007
,,408,269,12,269000,60.9,Ar,aa,Mazama,,,Bacon & Lamphere 2007
,,254,43,6,43000,61,Ar,asb,Mazama,,,Bacon & Lamphere 2007
,,256,46,9,46000,61,Ar,asb,Mazama,,,Bacon & Lamphere 2007
,,343,131,18,131000,61,Ar,am,Mazama,,,Bacon & Lamphere 2007
,,373,186,20,186000,61,Ar,all,Mazama,,,Bacon & Lamphere 2007
,,396,222,12,222000,61,Ar,ag,Mazama,,,Bacon & Lamphere 2007
,,443,323,12,323000,61,Ar,ak,Mazama,,,Bacon & Lamphere 2007
,,401,234,10,234000,61.3,Ar,arv,Mazama,,,Bacon & Lamphere 2007
,,411,276,8,276000,61.4,Ar,af,Mazama,,,Bacon & Lamphere 2007
,,402,242,5,242000,61.6,Ar,aa,Mazama,,,Bacon & Lamphere 2007
,,282,66,12,66000,61.8,Ar,als,Mazama,,,Bacon & Lamphere 2007
,,273,55,6,55000,62,Ar,atw,Mazama,,,Bacon & Lamphere 2007
,,275,56,24,56000,62,Ar,agc,Mazama,,,Bacon & Lamphere 2007
,,286,70,4,70000,62,Ar,agc,Mazama,,,Bacon & Lamphere 2007
,,327,109,19,109000,62,Ar,ar,Mazama,,,Bacon & Lamphere 2007
,,400,231,6,231000,62,Ar,aa,Mazama,,,Bacon & Lamphere 2007
,,426,303,3,303000,62.1,Ar,asc(ak),Mazama,,,Bacon & Lamphere 2007
,,440,316,10,316000,62.1,Ar,ak,Mazama,,,Bacon & Lamphere 2007
,,467,403,12,403000,62.1,Ar,apn,Mazama,,,Bacon & Lamphere 2007
,,390,211,16,211000,62.3,Ar,aa,Mazama,,,Bacon & Lamphere 2007
,,464,382,8,382000,62.4,Ar,db,Mazama,,,Bacon & Lamphere 2007
,,406,258,8,258000,62.5,Ar,aa,Mazama,,,Bacon & Lamphere 2007
,,495,651,28,651000,62.5,Ar,as,Mazama,,,Bacon & Lamphere 2007
SC99-343,,519,1310,19,1310000,62.5,Ar,dd,Mazama,,,Bacon & Lamphere 2007
,,456,346,20,346000,62.6,Ar,apn,Mazama,,,Bacon & Lamphere 2007
,,270,52,4,52000,62.9,Ar,atw,Mazama,,,Bacon & Lamphere 2007
,,278,61,8,61000,62.9,Ar,atw,Mazama,,,Bacon & Lamphere 2007
,,330,111,9,111000,63,Ar,abl,Mazama,,,Bacon & Lamphere 2007
,,405,258,7,258000,63,Ar,aa,Mazama,,,Bacon & Lamphere 2007
,,444,329,10,329000,63.1,Ar,db,Mazama,,,Bacon & Lamphere 2007
