id,ka,years
447,1005,1005000
448,1032,1032000
449,1060,1060000
450,1088,1088000
451,1155,1155000
452,1156,1156000
453,1191,1191000
454,1198,1198000
455,1275,1275000
456,1300,1300000
457,1310,1310000
458,1379,1379000
459,1850,1850000
460,1879,1879000
461,1900,1900000
462,2200,2200000
463,2360,2360000
464,2700,2700000
465,4000,4000000
