id,ka,years
389,322,322000
390,323,323000
391,328,328000
392,329,329000
393,329,329000
394,331,331000
395,333,333000
396,334,334000
397,334,334000
398,334,334000
399,336,336000
400,339,339000
401,343,343000
402,346,346000
403,350,350000
404,366,366000
405,374,374000
406,378,378000
407,380.1,380100
408,381,381000
409,385,385000
410,394,394000
411,400,400000
412,405,405000
413,416,416000
414,425,425000
415,455,455000
416,456,456000
417,457,457000
418,457,457000
419,460.0,460000
420,460,460000
421,474,474000
422,491,491000
423,495,495000
424,500,500000
425,505,505000
426,511,511000
427,515,515000
428,516,516000
429,518,518000
430,540.8,540800
431,557,557000
432,590,590000
433,598,598000
434,613,613000
435,622,622000
436,631,631000
437,695,695000
438,716,716000
439,731,731000
440,743,743000
441,743,743000
442,750,750000
443,752,752000
444,764,764000
445,775,775000
446,859,859000
447,878,878000
448,900,900000
449,903,903000
450,931,931000
451,940,940000
452,942,942000
453,970,970000
454,1005,1005000
455,1032,1032000
456,1060,1060000
457,1155,1155000
458,1156,1156000
459,1191,1191000
460,1300,1300000
461,1900,1900000
462,2200,2200000
463,2360,2360000
464,2700,2700000
465,4000,4000000
