id,ka,years
350,113,113000
351,113.8,113800
352,114,114000
353,115,115000
354,115,115000
355,115,115000
356,116,116000
357,116,116000
358,117,117000
359,117,117000
360,118,118000
361,119,119000
362,120,120000
363,120,120000
364,121.3,121300
365,122,122000
366,122,122000
367,130.1,130100
368,131,131000
369,131.3,131300
370,133,133000
371,136,136000
372,137,137000
373,138,138000
374,140,140000
375,140,140000
376,140,140000
377,140.8,140800
378,145,145000
379,145,145000
380,147,147000
381,149,149000
382,149,149000
383,150,150000
384,150,150000
385,150.4,150400
386,151,151000
387,151.5,151500
388,152,152000
389,152,152000
390,153,153000
391,159,159000
392,160,160000
393,160,160000
394,164,164000
395,169.1,169100
396,172,172000
397,172.2,172200
398,173,173000
399,177.5,177500
400,180,180000
401,180,180000
