Sample ID	Age (ka)	age (yrs)	Uncert (ka)	SiO2		Method	Map Unit	Location	Lat	Lon	Ref					1: SERNAGEOMIN Calbuco map +supplemental text	
	7.141	7141				14C	MC2	MOCHO-CHOSHUENCO			8						
	7.289	7289	0.712	55.8		14C	MC1	MOCHO-CHOSHUENCO			8						
	7.29	7290				Ar	Hacp	MOCHO-CHOSHUENCO			7						
	7.363	7363				Ar	Plc2	MOCHO-CHOSHUENCO			7						
	7.547	7547				Ar	Plc2	MOCHO-CHOSHUENCO			7						
	7.587	7587				Ar	Plm3	MOCHO-CHOSHUENCO			7						
	7.63	7630				Ar	Plm1	MOCHO-CHOSHUENCO			7						
	7.824	7824				Ar	Plm2	MOCHO-CHOSHUENCO			7						
	7.834	7834				Ar	Plm2	MOCHO-CHOSHUENCO			7						
SCA-070	7.97	7970	0.04			Ar	Plm2	MOCHO-CHOSHUENCO			7						
	8.202	8202	0.22	60.93		Ar	Plc1	MOCHO-CHOSHUENCO			7						
	8.202	8202	0.22	66.69		Ar	Plc1	MOCHO-CHOSHUENCO			7						
	8.289	8289				Ar	Plm1	MOCHO-CHOSHUENCO			7						
	8.301	8301				Ar	Plm1	MOCHO-CHOSHUENCO			7						
DCC-11	8.38	8380	0.08			Ar	Plm1	MOCHO-CHOSHUENCO			7						
	8.55	8550				Ar	Plm1	MOCHO-CHOSHUENCO			7						
MCL-4	8.64	8640	0.15			14C	Hl	OSORNO			6						
	8.683	8683	0.287	58.7		Hist	1834	OSORNO			4						
	8.706	8706	0.385	64.84		14C	Ho4	OSORNO			6						
	8.886	8886				14C	H1835-2p	OSORNO			6						
	8.971	8971	0.41	68.01		14C	Os-G	OSORNO			4						
	9.076	9076				14C	Os-	OSORNO			4						
	9.588	9588				14C	Ho4fp	OSORNO			6						
	9.599	9599				14C	Os-D	OSORNO			4						
CAJ-10A	9.61	9610	0.06	54.67		14C	Os-C	OSORNO			4						
	9.65	9650	0.04	53		14C	Os-B	OSORNO			4						
DCC-10	9.71	9710	0.18			14C	Hlr	OSORNO			6						
	9.765	9765				14C	Hpa	OSORNO			6						
	9.846	9846				Ar	Hdwd	OSORNO			6						
	9.921	9921				14C	Haplb	OSORNO			6						
XBD-3B	10.04	10040	0.09			14C	Plo2	OSORNO			6						
DCC-9	10.13	10130	0.06			Ar	Plo2	OSORNO			6						
	10.18	10180	1.36	69.13		Ar	Pllp	OSORNO			6						
	10.488	10488				Ar	Plo2	OSORNO			6						
	10.55	10550				Ar	Pllp	OSORNO			6						
	10.651	10651				Ar	Pllp	OSORNO			6						
MCL-3	10.66	10660	0.14			Ar	Plm1	OSORNO			6						
	10.96	10960	0.05	57		Ar	Plo1b	OSORNO			6						
	11.119	11119				Ar	Plo1b	OSORNO			6						
	11.322	11322				K-Ar	Plo1a	OSORNO			6						
	11.39	11390	1	70.12		Ar	Plo1a	OSORNO			6						
	11.495	11495				Ar	Plo1a	OSORNO			6						
	11.497	11497				Ar	Pllp	OSORNO			6						
PU-03-27	11.5	11500	1.1	66.5		Ar	Pllp	OSORNO			6						
PU-05-21	12	12000	2.8	69.9		K-Ar	Pllp	OSORNO			6						
	12.027	12027				14C	PalR	PALENA			4						
PU-05-22	12.3	12300	1.9	69.9		Hist	2011	PUYEHUE-CORDON CAULLE			4						
	12.52	12520				Hist	1960	PUYEHUE-CORDON CAULLE			4						
	12.555	12555				Hist	1921	PUYEHUE-CORDON CAULLE			4						
	12.603	12603	0.604	64.78		14C	Pu-D	PUYEHUE-CORDON CAULLE			4						
	12.67	12670				14C	Pu-C	PUYEHUE-CORDON CAULLE			4						
	12.908	12908				14C	Pu05	PUYEHUE-CORDON CAULLE			4						
	13.109	13109	1.036	71.46		14C	Pu-B	PUYEHUE-CORDON CAULLE			4						
DCC-8	13.41	13410	0.1			14C	Pu-A	PUYEHUE-CORDON CAULLE			4						
	13.55	13550	1.36	53.69		Ar	Pr2	PUYEHUE-CORDON CAULLE	40o  34.612'	72o  06.378'	5						
280492-3	13.57	13570	0.8			Ar	Pr2	PUYEHUE-CORDON CAULLE	40o  35.007'	72o  05.877'	5						
240992-1	13.69	13690	0.21			14C	Pr2	PUYEHUE-CORDON CAULLE			4						
MCL-2	13.75	13750	0.09			Ar	Pr2	PUYEHUE-CORDON CAULLE	40o  35.453'	72o  04.314'	5						
DCC-7	13.79	13790	0.1			14C	Mascardi	PUYEHUE-CORDON CAULLE			4						
DCC-6	13.8	13800	0.05			14C	Pr1	PUYEHUE-CORDON CAULLE			4						
DCC-5	13.83	13830	0.09			Ar	Pr1	PUYEHUE-CORDON CAULLE	40o  34.550'	72o  08.820'	5						
DCC-4	13.84	13840	0.1			Ar	Pr1	PUYEHUE-CORDON CAULLE	40o  34.839'	72o  04.283'	5						
MCL-1	13.84	13840	0.1			Ar	Pr1	PUYEHUE-CORDON CAULLE	40o  34.839'	72o  04.283'	5						
DCC-3	13.845	13845	0.9			14C	Trebol	PUYEHUE-CORDON CAULLE			4						
	13.867	13867				Ar	Pr1	PUYEHUE-CORDON CAULLE	40o  35.896'	72o  06.378'	5						
DCC-1	13.89	13890	0.09			Ar	CCIV	PUYEHUE-CORDON CAULLE	40o  32.400'	72o  09.000'	5						
VMJ-6B	13.92	13920	0.06			Ar	Pr1	PUYEHUE-CORDON CAULLE	40o  34.053'	72o  10.457'	5						
DCC-2	13.97	13970	0.9			Ar	Pa	PUYEHUE-CORDON CAULLE	40o  34.954'	72o  07.144'	5						
270992-1	14.32	14320	0.1			Ar	Cca	PUYEHUE-CORDON CAULLE	40o  31.090'	72o  14.582'	5						
	14.602	14602				Ar	Pmr	PUYEHUE-CORDON CAULLE	40o  36.625'	72o  07.283'	5						
PU-02-40	14.9	14900	2.9	63.9		Ar	Pa	PUYEHUE-CORDON CAULLE	40o  34.839'	72o  04.283'	5						
	14.937	14937				Ar	Pa	PUYEHUE-CORDON CAULLE	40o  33.537'	72o  06.046'	5						
	16.092	16092				Ar	Pa	PUYEHUE-CORDON CAULLE	40o  34.954'	72o  07.144'	5						
	16.487	16487				Ar	Pa	PUYEHUE-CORDON CAULLE	40o  35.500'	72o  06.290'	5						
LL-160201-1	16.5	16500	3.8	71.2		Ar	Cca	PUYEHUE-CORDON CAULLE	40o  30.920'	72o  15.072'	5						
PU-02-20	18.7	18700	1.1	68.3		Ar	Pa	PUYEHUE-CORDON CAULLE	40o  34.954'	72o  07.144'	5						
XM0061	19.96	19960	0.11			Ar	Pa	PUYEHUE-CORDON CAULLE	40o  33.466'	72o  06.053'	5						
VMJ-5C	26.15	26150	0.12			Ar	Pa	PUYEHUE-CORDON CAULLE	40o  33.085'	72o  05.512'	5						
VMJ-5E	29.42	29420	0.15			Ar	CCII	PUYEHUE-CORDON CAULLE	40o  31.326'	72o  09.228'	5						
SCA-065	30	30000	20	57.38		Ar	CCI	PUYEHUE-CORDON CAULLE	40o  33.230'	72o  11.400'	5						
SCA-034A	30	30000	20	60.25		Ar	Cbl	PUYEHUE-CORDON CAULLE	40o  32.501'	72o  11.587'	5						
	30	30000	30			Ar	PI	PUYEHUE-CORDON CAULLE	40o  32.977'	72o  06.285'	5						
PU-03-10	31.6	31600	5.3	64.7		Ar	Cbl	PUYEHUE-CORDON CAULLE	40o  32.501'	72o  11.587'	5						
PU-02-33	32.2	32200	2.2	55.7		Ar	Cbl	PUYEHUE-CORDON CAULLE	40o  32.501'	72o  11.587'	5						
PU-02-02	34.4	34400	0.7	68.3		Ar	Cas	PUYEHUE-CORDON CAULLE	40o  33.229'	72o  11.390'	5						
SCA-065	40	40000	30	57.38		Ar	PI	PUYEHUE-CORDON CAULLE	40o  31.879'	72o  06.560'	5						
	40	40000	20			Ar	CCI	PUYEHUE-CORDON CAULLE	40o  33.229'	72o  11.390'	5						
VMJ-6G	41.18	41180	1.48			Ar	PI	PUYEHUE-CORDON CAULLE	40o  34.954'	72o  07.144'	5						
SCA-062	42	42000	24	57.16		Ar	PI	PUYEHUE-CORDON CAULLE	40o  32.775'	72o  05.456'	5						
SCA-077A	43	43000	18	64.79		Ar	UP	PUYEHUE-CORDON CAULLE	40o  27.600'	72o  12.000'	5						
PU-05-30	43	43000	6.6	56.6		Ar	PI	PUYEHUE-CORDON CAULLE	40o  34.636'	72o  10.150'	5						
PU-02-11	44.5	44500	1.5	60.2		Ar	Cig	PUYEHUE-CORDON CAULLE	40o  32.590'	72o  11.667'	5						
PU-03-07	51.4	51400	14.5	53		Ar	PI	PUYEHUE-CORDON CAULLE	40o  38.720'	72o  11.810'	5						
	53	53000	30			Ar	CCI	PUYEHUE-CORDON CAULLE	40o  34.612'	72o  10.087'	5						
	54	54000	13	57		Ar	CCI	PUYEHUE-CORDON CAULLE	40o  31.035'	72o  14.906'	5						
PU-05-10	54	54000	11	52.4		Ar	PI	PUYEHUE-CORDON CAULLE	40o  34.399'	72o  10.087'	5						
PU-02-30	54	54000	6.2	60.7		Ar	PI	PUYEHUE-CORDON CAULLE	40o  36.385'	72o  07.976'	5						
	60	60000	20			Ar	PI	PUYEHUE-CORDON CAULLE	40o  31.238'	72o  06.486'	5						
	60	60000	30	52		Ar	PI	PUYEHUE-CORDON CAULLE	40o  38.400'	72o  08.610'	5						
PU-03-09	62.9	62900	4.2	63.4		Ar	UP	PUYEHUE-CORDON CAULLE	40o  32.857'	72o  02.000'	5						
PU-02-12	65.5	65500	4.5	52.7		Ar	UP	PUYEHUE-CORDON CAULLE	40o  31.879'	72o  06.560'	5						
PU-03-15	69.3	69300	1.6	54.1		14C	Qu-A	QUETRUPILLAN			4						
SCA-055	70	70000	13	53.77		14C	So-A	SOLLIPULLI			4						
PU-02-24	72.8	72800	14.3	59		Hist	1984	VILLARRICA			3						
SCA-063	75	75000	14	59.34		Hist	1971	VILLARRICA			3						
LL-150201-6	78.9	78900	3.1	52.7		14C	Hv3	VILLARRICA			3						
	80	80000	30	57		14C	Hv3	VILLARRICA			4						
	81	81000	12.8	52		14C	PlHv2p	VILLARRICA	-39.530618	-72.065925	2						
	82	82000	29	52		14C	Hln1	VILLARRICA	-39.358648	-71.827197	2						
SCA-067	83	83000	17	58.74		14C	Hv3	VILLARRICA	-39.387627	-71.946973	2						
PU-03-26	83.7	83700	3.3			14C	Hln1	VILLARRICA	-39.358648	-71.827197	2						
	86	86000	17			14C	Hln1	VILLARRICA	-39.358648	-71.827197	2						
SCA-066	90	90000	12	60.21		14C	Hv3	VILLARRICA	-39.387627	-71.946973	2						
G-2A	95	95000	15			14C	Hv3	VILLARRICA	-39.31893	-71.974788	2						
PU-03-14	95.6	95600	26.9	54.7		14C	Hv3	VILLARRICA	-39.387627	-71.946973	2						
PU-03-25	96.12	96120	12	52.9		14C	Hv3	VILLARRICA	-39.387627	-71.946973	2						
PU-03-24	98	98000	19	53.6		14C	Hv3	VILLARRICA	-39.31893	-71.974788	2						
	102	102000				14C	PlHv2p	VILLARRICA	-39.439934	-72.092798	2						
PU-02-18	106	106000	3	53.7		14C	PlHv2p	VILLARRICA	-39.504741	-71.852618	2						
PU-03-20	106.3	106300	4.1	56		14C	PlHv2p	VILLARRICA	-39.509389	-71.870448	2						
SCA-044	110	110000	50	56.58		14C	PlHv2p	VILLARRICA	-39.326543	-72.225625	2						
	110	110000	0.06	52		14C	PlHv2p	VILLARRICA	-39.335916	-71.83804	2						
PU-02-17	111	111000	30	51.9		14C	Hp	VILLARRICA	-39.270341	-71.928773	2						
PU-03-12	111	111000	22	55		14C	Plv1	VILLARRICA	-39.352652	-71.974788	2						
SCA-061	120	120000	30	56.46		14C	Hv3	VILLARRICA	-39.495841	-72.089423	2						
	120	120000	20			14C	Plv1	VILLARRICA	-39.352652	-71.974788	2						
	120	120000	30			14C	Plv1	VILLARRICA	-39.352652	-71.974788	2						
	120	120000	80	54		14C	Hv3	VILLARRICA	-39.495841	-72.089423	2						
PU-03-16	124.1	124100	2.2	57.1		14C	PlHv2p	VILLARRICA			2						
	124.5	124500	40.9	54		14C	PlHv2p	VILLARRICA			2						
XG-77A	128.4	128400	10.9	55.5		14C	PlHv2p	VILLARRICA	-39.293797	-71.752177	2						
	130	130000	20			14C	PlHv2p	VILLARRICA			2						
PU-02-22	131.3	131300	6.1	59.5		14C	PlHv2p	VILLARRICA			2						
PU-03-22	133.2	133200	1.8	61.2		14C	PlHv2p	VILLARRICA			2						
	149	149000	100	52		14C	PlHv2p	VILLARRICA			2						
PU-06-02	158.1	158100	19.4	52		14C	PlHv2p	VILLARRICA	-39.418319	-72.203402	2						
SCA-020A	160	160000	60	54.44		14C	PlHv2p	VILLARRICA			2						
SCA-052	160	160000	20	55.05		14C	PlHv2p	VILLARRICA			2						
PU-02-31	167.4	167400	9.3	53.2		14C	Plv1	VILLARRICA			2						
	170	170000	70			14C	Plv1	VILLARRICA			2						
VMJ-2	170	170000	60			14C	PlHv2p	VILLARRICA			2						
	173	173000	57	52		14C	PlHv2p	VILLARRICA			2						
PU-02-32	173	173000	15	56.1		14C	Plv1	VILLARRICA			2						
PU-02-21	193	193000	26	52		14C	Plv1	VILLARRICA			2						
	198	198000	49	52		14C	Plv1	VILLARRICA			2						
	200	200000	60			Ar	Plv1	VILLARRICA	-39.44109594	-65.87136426	2						
	202	202000	54			Ar	Plv1	VILLARRICA	-39.4334948	-71.87211511	2						
	220	220000	78			Ar	Plv1	VILLARRICA			2						
PU-02-01	224	224000	51	54.3		Ar	Plv1	VILLARRICA			2						
PU-03-18	245	245000	13	51.2		Ar	Plv1	VILLARRICA	-39.53586446	-71.93560723	2						
	260	260000	60			Ar	Plv1	VILLARRICA	-39.4334948	-71.87211511	2						
PU-06-01	314	314000	13	52.6		Ar	Plv1	VILLARRICA	-39.44430015	-71.85402752	2						
SCA-045	342	342000	78	54		Ar	Plv1	VILLARRICA			2						
	350	350000	20			Ar	Plv1	VILLARRICA	-39.44903088	-71.85214091	2						
VMJ-2	400	400000	200			Hist	1948	VILLARRICA			4						
VMJ-1	440	440000	170			14C	Vi-A	VILLARRICA			4						
	480	480000	30	52		14C	C¨®nquil	VILLARRICA			4						
PU-05-18	482	482000	49.3			14C	Pedregoso	VILLARRICA			4						
	510	510000	60	52		14C	Puc¨®n	VILLARRICA			4						
	520	520000	100	52		14C	Aunalhue	VILLARRICA			4						
PU-03-19	559.6	559600	42	53.2		14C	Candelaria	VILLARRICA			4						
VMJ-8	560	560000	70			14C	Voipir	VILLARRICA			4						
VMJ-8	570	570000	90			14C	Turbio	VILLARRICA			4						
VMJ-3	580	580000	40			14C	Lic¨¢n	VILLARRICA			4						
VMJ-3	590	590000	50			14C	CM3	YANTELES			4						
VMJ-1	600	600000	70			14C	YAN1	YANTELES			4						
